Source,Amount,Date,Month,Situação,Tags,Tipo
Kindle Gui 1/2,"R$ 261,45",30/11/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Presentes,Crédito
Corte de cabelo,"R$ 60,00",03/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Crédito
Ônibus Itapevi,"R$ 6,95",04/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Lanche,"R$ 15,00",04/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Crédito
Uber,"R$ 8,94",04/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Uber,"R$ 10,95",04/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Uber,"R$ 13,96",04/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Cometa,"R$ 33,95",08/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Cometa,"R$ 30,79",12/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Trem,"R$ 5,20",12/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Uber,"R$ 15,95",12/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Taxa Uber Gui,"R$ 3,95",15/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Uber,"R$ 11,89",16/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Crédito
Headspace,"R$ 15,99",20/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Saúde,Crédito
Pro Launcher,"R$ 23,99",24/11/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Crédito
OneDrive,"R$ 4,00",24/11/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Crédito
Lanche Facens,"R$ 9,50",24/11/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Crédito
Lanche Facens,"R$ 6,00",25/11/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Crédito
Lanche Facens,"R$ 8,50",27/11/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Crédito
Amigo chocolate,"R$ 59,70",26/11/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Presentes,Crédito
Van 12/12,"R$ 470,00",10/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Débito
Facens,"R$ 1.309,68",10/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Educação,Débito
Spotify,"R$ 8,18",02/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Lazer,Débito
Plano Vivo,"R$ 43,00",18/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Débito
Taxa médico DETRAN,"R$ 126,79",05/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Débito
Kindle Gui 2/2,"R$ 261,45",30/11/2025,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Presentes,Crédito
Lanche Shopping,"R$ 22,90",23/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Psicotécnico DETRAN,"R$ 142,53",23/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Débito
Ônibus GRU,"R$ 34,21",26/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Débito
Lanche SR,"R$ 10,98",26/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Trem,"R$ 10,40",26/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Débito
Água BF,"R$ 3,50",26/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Mercado,"R$ 55,83",26/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Almoço padaria,"R$ 56,00",27/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Mercado,"R$ 43,46",27/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Mercado,"R$ 98,76",29/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Almoço piscina,"R$ 43,00",29/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
"Almoço padaria ","R$ 29,00",29/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Ônibus saque,"R$ 20,00",29/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Débito
Suco bagaço,"R$ 48,95",29/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Remédios e barrinhas,"R$ 44,41",29/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Mercado,"R$ 9,39",29/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Compras X,"R$ 143,94",30/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Creme de pentear,"R$ 15,49",30/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Compras,Débito
Bacio,"R$ 55,90",30/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Ventilador,"R$ 269,90",31/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Compras,Débito
Almoço,"R$ 80,41",31/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Sorvete Kopenhagen,"R$ 22,90",31/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Nubank,"R$ 665,75",31/12/2025,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Fatura,Débito
Corte,"R$ 25,00",07/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Débito
Café CECAP,"R$ 25,00",02/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Ônibus SR,"R$ 40,74",04/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Débito
Taxa Exame Teórico DETRAN,"R$ 52,83",05/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Débito
OneDrive,"R$ 4,00",24/11/2025,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Serviços,Crédito
Headspace,"R$ 15,99",20/01/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Saúde,Crédito
Nubank,"R$ 1.065,01",13/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Fatura,Débito
Spotify,"R$ 8,18",02/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Lazer,Débito
Corte,"R$ 100,00",10/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Previsto,Serviços,Débito
Van 1/12,"R$ 500,00",10/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Transporte,Débito
Facens,"R$ 1.309,68",10/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Educação,Débito
Plano Vivo,"R$ 43,00",18/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Previsto,Serviços,Débito
Uber,"R$ 9,93",04/01/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Transporte,Crédito
Antivirus 1/3,"R$ 30,63",05/01/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Serviços,Crédito
Presente Lu,"R$ 61,25",11/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Presentes,Débito
Sapatilha,"R$ 47,68",13/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Compras,Débito
Lâmpada,"R$ 15,90",13/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Compras,Débito
Nubank,"R$ 458,75",15/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Fatura,Débito
Lanche com Gui,"R$ 84,00",20/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Ônibus Gui,"R$ 37,32",22/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Transporte,Débito
Estância,"R$ 21,39",22/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
WatchFace,"R$ 13,99",09/01/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Compras,Crédito
Guitarra,"R$ 2.000,00",27/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Lazer,Débito
Palheta e cabo p2,"R$ 20,00",27/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Lazer,Débito
Corte,"R$ 50,00",27/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Serviços,Débito
Mercado,"R$ 8,78",27/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Estancia,"R$ 48,08",28/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Açaí,"R$ 35,00",31/01/2026,January (https://www.notion.so/January-2d00a14785a081b498ecc3beb6d10435?pvs=21),Pago,Alimentação,Débito
Passagem Gui,"R$ 20,00",01/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Transporte,Débito
Compras Estância,"R$ 51,65",01/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Alimentação,Débito
Ibuprofeno,"R$ 15,99",07/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Saúde,Débito
Pastilhas,"R$ 22,63",08/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Saúde,Débito
Ônibus Int - CECAP,"R$ 6,00",08/02/2026,February (https://www.notion.so/February-2d00a14785a081c2a955fbe585c5f467?pvs=21),Pago,Transporte,Débito
OneDrive,"R$ 4,00",24/11/2025,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Serviços,Crédito
Antivirus 2/3,"R$ 30,63",05/01/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Serviços,Crédito
Headspace,"R$ 15,99",20/02/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Saúde,Crédito
CBD 1/3,"R$ 121,57",31/01/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Saúde,Crédito
Niver Gi,"R$ 131,21",07/02/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Alimentação,Crédito
Capinha Gui,"R$ 48,00",08/02/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Presentes,Crédito
Uber Barra Funda,"R$ 46,95",09/02/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Transporte,Crédito
Onibus SR,"R$ 28,93",09/02/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Transporte,Crédito
Crocs 1/2,"R$ 150,00",08/02/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Compras,Crédito
Rei do Mate,"R$ 40,00",09/02/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Alimentação,Crédito
Spotify,"R$ 8,18",02/03/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Pago,Lazer,Débito
Corte,"R$ 100,00",10/03/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Previsto,Serviços,Débito
Van 2/12,"R$ 500,00",10/03/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Previsto,Transporte,Débito
Facens,"R$ 1.309,68",10/03/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Previsto,Educação,Débito
Nubank,"R$ 233,84",13/03/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Previsto,Fatura,Débito
Plano Vivo,"R$ 43,00",18/03/2026,March (https://www.notion.so/March-2d00a14785a0817389a5edd613014226?pvs=21),Previsto,Serviços,Débito
